Country_name,year,Life_Ladder,Log_GDP_per_capita_x,Social_support_x,Healthy_life_expectancy_at_birth_x,Freedom_to_make_life_choices_x,Generosity_x,Perceptions_of_corruption_x,Regional_indicator,level_happiness_x,Life_Ladder_Avg,Log_GDP_per_capita_y,Social_support_y,Healthy_life_expectancy_at_birth_y,Freedom_to_make_life_choices_y,Generosity_y,Perceptions_of_corruption_y,level_happiness_y,MAE
Bahrain,2019,7.098,10.715,0.878,69.3,0.907,0.048,0.6040495857142858,Middle East and North Africa,1,7.098,10.715,0.878,69.3,0.907,0.048,0.6040495857142858,1.0,0.0
Bahrain,2020,6.227300167,10.67638016,0.876342118,68.5,0.905855775,0.13372919,0.7393471,Middle East and North Africa,1,6.333399999999999,10.767,0.8696723686333334,68.20400000000001,0.8845142629166667,0.0912745838,0.6040495857142858,1.0,0.10689983299999906
Bahrain,2020,6.227300167,10.67638016,0.876342118,68.5,0.905855775,0.13372919,0.7393471,Middle East and North Africa,1,6.334999999999999,10.7344,0.8636000000000001,68.66,0.8994,0.1032,0.6040495857142858,1.0,0.10689983299999906
Bahrain,2021,6.647,10.669,0.862,69.495,0.925,0.089,0.722,Middle East and North Africa,1,6.3790600334,10.712676032,0.8682684236,68.82,0.910571155,0.107545838,0.6311090885714286,1.0,0.2679399666000002
Bangladesh,2017,4.31,8.334,0.713,63.8,0.896,0.012,0.635,South Asia,0,4.31,8.334,0.713,63.8,0.896,0.012,0.635,0.0,0.0
Bangladesh,2018,4.499,8.399,0.706,64.3,0.901,-0.043,0.701,South Asia,0,4.499,8.399,0.706,64.3,0.901,-0.043,0.701,0.0,0.0
Bangladesh,2019,5.114,8.467,0.673,64.8,0.902,-0.051,0.656,South Asia,0,5.114,8.467,0.673,64.8,0.902,-0.051,0.656,0.0,0.0
Bangladesh,2020,4.832799911,8.287063599,0.687292993,64.50306702,0.90062499,-0.033664726,0.661843538,South Asia,0,4.6224,8.338,0.6684,63.8,0.8778,-0.0477999999999999,0.6801999999999999,0.0,0.14569991100000035
Bangladesh,2020,4.832799911,8.287063599,0.687292993,64.50306702,0.90062499,-0.033664726,0.661843538,South Asia,0,4.7518,8.389199999999999,0.696,64.3,0.8702,-0.036,0.6844,0.0,0.14569991100000035
Bangladesh,2021,5.025,8.454,0.693,64.8,0.877,-0.041,0.682,South Asia,0,4.8071599822,8.391812719799999,0.7036585986,64.540613404,0.8753249980000002,-0.0249329451999999,0.6791687075999999,0.0,0.2178400178000004
Belarus,2017,5.553,9.814,0.9,65.8,0.621,-0.122,0.654,Commonwealth of Independent States,1,5.553,9.814,0.9,65.8,0.621,-0.122,0.654,1.0,0.0
Belarus,2018,5.234,9.846,0.905,66.1,0.644,-0.174,0.718,Commonwealth of Independent States,1,5.234,9.846,0.905,66.1,0.644,-0.174,0.718,1.0,0.0
Belarus,2019,5.821,9.86,0.917,66.4,0.657,-0.186,0.546,Commonwealth of Independent States,1,5.821,9.86,0.917,66.4,0.657,-0.186,0.546,1.0,0.0
Belarus,2020,5.539899826,9.779945374,0.90674746,66.10433197,0.639163077,-0.164926544,0.63571167,Commonwealth of Independent States,1,5.501,9.8246,0.9146,65.8,0.6406000000000001,-0.1396,0.6502000000000001,1.0,0.03889982599999975
Belarus,2021,5.534,9.853,0.91,66.253,0.65,-0.18,0.627,Commonwealth of Independent States,1,5.4651799652,9.8175890748,0.911149492,65.980866394,0.6438326154,-0.1543853088,0.6435423339999999,1.0,0.06882003479999987
