Country_name,year,Regional_indicator,Life_Ladder,Life_Ladder_Avg,MAE
Egypt,2021,Middle East and North Africa,4.283,4.881,0.5979999999999999
El Salvador,2020,Latin America and Caribbean,6.34829998,5.753,0.5952999800000001
El Salvador,2021,Latin America and Caribbean,6.061,5.773,0.28800000000000026
Estonia,2020,Central and Eastern Europe,6.021800041,6.116,0.094199959
Estonia,2021,Central and Eastern Europe,6.189,6.127,0.06200000000000028
Ethiopia,2020,Sub-Saharan Africa,4.186200142,4.25,0.06379985800000032
Ethiopia,2021,Sub-Saharan Africa,4.275,4.25,0.025000000000000355
Finland,2020,Western Europe,7.808700085,7.001,0.8077000849999996
Finland,2021,Western Europe,7.842,6.972,0.8699999999999992
France,2020,Western Europe,6.663799763,6.545,0.11879976300000017
France,2021,Western Europe,6.69,6.552,0.1380000000000008
Gabon,2020,Sub-Saharan Africa,4.829299927,4.903,0.07370007299999948
Gabon,2021,Sub-Saharan Africa,4.852,4.915,0.06299999999999972
Gambia,2020,Sub-Saharan Africa,4.750599861,4.598,0.15259986100000056
Gambia,2021,Sub-Saharan Africa,5.051,4.446,0.6050000000000004
Georgia,2020,Commonwealth of Independent States,4.672599792,4.799,0.12640020800000062
Georgia,2021,Commonwealth of Independent States,4.891,4.831,0.05999999999999961
Germany,2020,Western Europe,7.075799942,6.848,0.22779994199999987
Germany,2021,Western Europe,7.155,6.799,0.35599999999999987
Ghana,2020,Sub-Saharan Africa,5.147999763,4.562,0.5859997629999993
Ghana,2021,Sub-Saharan Africa,5.088,4.573,0.5149999999999997
Greece,2020,Western Europe,5.514999866,5.623,0.10800013400000008
Greece,2021,Western Europe,5.723,5.591,0.13199999999999967
Guatemala,2020,Latin America and Caribbean,6.398900032,5.929,0.46990003199999997
Guatemala,2021,Latin America and Caribbean,6.435,5.912,0.5229999999999997
Guinea,2020,Sub-Saharan Africa,4.949299812,4.037,0.9122998119999997
Guinea,2021,Sub-Saharan Africa,4.984,4.081,0.9029999999999996
Haiti,2020,Latin America and Caribbean,3.720799923,4.515,0.7942000769999997
Haiti,2021,Latin America and Caribbean,3.615,4.547,0.9319999999999995
Honduras,2020,Latin America and Caribbean,5.953199863,5.694,0.2591998630000001
Honduras,2021,Latin America and Caribbean,5.919,5.794,0.125
Hong Kong S.A.R. of China,2020,East Asia,5.510399818,6.24,0.7296001820000004
Hong Kong S.A.R. of China,2021,East Asia,5.477,6.203,0.726
Hungary,2020,Central and Eastern Europe,6.000400066,5.603,0.39740006600000033
Hungary,2021,Central and Eastern Europe,5.992,5.658,0.33399999999999963
Iceland,2020,Western Europe,7.504499912,7.063,0.44149991200000027
Iceland,2021,Western Europe,7.554,7.051,0.5030000000000001
India,2020,South Asia,3.573299885,4.645,1.0717001149999996
India,2021,South Asia,3.819,4.681,0.8620000000000001
Indonesia,2020,Southeast Asia,5.285600185,5.344,0.058399815000000466
Indonesia,2021,Southeast Asia,5.345,5.378,0.03300000000000036
Iran,2020,Middle East and North Africa,4.672399998,5.122,0.4496000019999995
Iran,2021,Middle East and North Africa,4.721,5.15,0.42900000000000027
Iraq,2020,Middle East and North Africa,4.784800053,4.849,0.06419994700000053
Iraq,2021,Middle East and North Africa,4.854,4.862,0.008000000000000007
